saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
104.171.55.18,/,1.0,2.0,2.0,2.05 Content,62665.0,7e06,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127.0,3.0,False
104.171.55.18,/qlink/searchfh,1.0,2.0,2.0,4.05 Method Not Allowed,10617.0,f11b,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/qlink/searchgw,1.0,2.0,2.0,4.05 Method Not Allowed,52866.0,ce2e,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/qlink/request,1.0,2.0,2.0,4.05 Method Not Allowed,10456.0,7cc4,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/qlink/success,1.0,2.0,2.0,4.05 Method Not Allowed,41643.0,f01f,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/device/inform/bootstrap,1.0,2.0,2.0,4.05 Method Not Allowed,41387.0,cfb3,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/device/inform/boot,1.0,2.0,2.0,4.05 Method Not Allowed,31835.0,0b12,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/device/inform/syncreq,1.0,2.0,2.0,4.05 Method Not Allowed,20381.0,f740,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/device/inform/offline,1.0,2.0,2.0,4.05 Method Not Allowed,13683.0,02f6,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/device/inform/heartbeat,1.0,2.0,2.0,4.05 Method Not Allowed,8753.0,82ea,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/device/inform/data,1.0,2.0,2.0,4.05 Method Not Allowed,2311.0,bc7b,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/device/inform/change,1.0,2.0,2.0,4.05 Method Not Allowed,36369.0,d3e4,,Method Not Allowed,18.0,3.0,False
104.171.55.18,/async,1.0,0.0,2.0,2.05 Content,5536.0,861a,,done,4.0,3.0,False
120.237.16.186,/qlink,1.0,2.0,2.0,4.05 Method Not Allowed,62666.0,7e07,,,0.0,3.0,False
120.237.16.186,/qlink/searchgw,1.0,2.0,2.0,4.00 Bad Request,10618.0,f11c,"{""CONTENT_FORMAT"": ""TEXT""}",not soupport GET,16.0,3.0,False
120.237.16.186,/device,1.0,2.0,2.0,4.05 Method Not Allowed,52867.0,ce2f,,,0.0,3.0,False
120.237.16.186,/device/inform,1.0,2.0,2.0,4.05 Method Not Allowed,10457.0,7cc5,,,0.0,3.0,False
120.237.16.186,/device/inform/boot,1.0,2.0,2.0,4.00 Bad Request,41644.0,f020,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194.0,3.0,False
120.237.16.186,/device/inform/bootstrap,1.0,2.0,2.0,4.00 Bad Request,41388.0,cfb4,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",191.0,3.0,False
120.237.16.186,/device/inform/data,1.0,2.0,2.0,4.00 Bad Request,31836.0,0b13,"{""CONTENT_FORMAT"": ""TEXT""}",should post ,12.0,3.0,False
120.237.16.186,/device/inform/heartbeat,1.0,2.0,2.0,4.00 Bad Request,20382.0,f741,"{""CONTENT_FORMAT"": ""TEXT""}","should post example,{
""deviceId"": ""deviceId""

}",47.0,3.0,False
120.237.16.186,/device/inform/offline,1.0,2.0,2.0,4.00 Bad Request,13684.0,02f7,"{""CONTENT_FORMAT"": ""TEXT""}",should post ,12.0,3.0,False
120.237.16.186,/ekit,1.0,2.0,2.0,4.05 Method Not Allowed,8754.0,82eb,,,0.0,3.0,False
120.237.16.186,/ekit/boot,1.0,2.0,2.0,4.00 Bad Request,2312.0,bc7c,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194.0,3.0,False
120.237.16.186,/ekit/bootstrap,1.0,2.0,2.0,4.00 Bad Request,36370.0,d3e5,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",191.0,3.0,False
120.237.16.186,/ekit/heartbeat,1.0,2.0,2.0,4.00 Bad Request,62417.0,861b,"{""CONTENT_FORMAT"": ""TEXT""}","should post example,{
""deviceId"": ""deviceId""

}",47.0,3.0,False
120.237.16.186,/ekit/searchgw,1.0,2.0,2.0,4.00 Bad Request,64449.0,6b3e,"{""CONTENT_FORMAT"": ""TEXT""}",not soupport GET,16.0,3.0,False
120.237.16.186,/.well-known/core,1.0,2.0,2.0,2.05 Content,13956.0,89de,"{""CONTENT_FORMAT"": ""LINKFORMAT""}","</qlink>,</qlink/searchgw>,</device>,</device/inform>,</device/inform/boot>,</device/inform/bootstrap>,</device/inform/data>,</device/inform/heartbeat>,</device/inform/offline>,</ekit>,</ekit/boot>,</ekit/bootstrap>,</ekit/heartbeat>,</ekit/searchgw>,</.well-known/core>",270.0,3.0,False
120.237.16.186,/,1.0,2.0,2.0,2.05 Content,30604.0,435c,"{""CONTENT_FORMAT"": ""TEXT""}","************************************************************
CoAP RFC 7252                                               
************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014, 2015, 2016 Institute for Pervasive Computing, ETH Zurich and others
************************************************************",448.0,3.0,True
112.202.253.100,/,1.0,2.0,2.0,2.05 Content,62667.0,7e08,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127.0,3.0,False
112.202.253.100,/qlink/searchfh,1.0,2.0,2.0,4.05 Method Not Allowed,10619.0,f11d,,Method Not Allowed,18.0,3.0,False
112.202.253.100,/qlink/searchgw,1.0,2.0,2.0,4.05 Method Not Allowed,52868.0,ce30,,Method Not Allowed,18.0,3.0,False
112.202.253.100,/qlink/request,1.0,2.0,2.0,4.05 Method Not Allowed,10458.0,7cc6,,Method Not Allowed,18.0,3.0,False
112.202.253.100,/qlink/success,1.0,2.0,2.0,4.05 Method Not Allowed,41645.0,f021,,Method Not Allowed,18.0,3.0,False
112.202.253.100,/device/inform/bootstrap,1.0,2.0,2.0,4.05 Method Not Allowed,41389.0,cfb5,,Method Not Allowed,18.0,3.0,False
112.202.253.100,/device/inform/boot,1.0,2.0,2.0,4.05 Method Not Allowed,31837.0,0b14,,Method Not Allowed,18.0,3.0,False
112.202.253.100,/device/inform/syncreq,1.0,2.0,2.0,4.05 Method Not Allowed,20383.0,f742,,Method Not Allowed,18.0,3.0,False
112.202.253.100,/device/inform/offline,1.0,2.0,2.0,4.05 Method Not Allowed,13685.0,02f8,,Method Not Allowed,18.0,3.0,False
112.202.253.100,/device/inform/heartbeat,1.0,2.0,2.0,4.05 Method Not Allowed,8755.0,82ec,,Method Not Allowed,18.0,3.0,False
112.202.253.100,/device/inform/data,1.0,2.0,2.0,4.05 Method Not Allowed,2313.0,bc7d,,Method Not Allowed,18.0,3.0,False
112.202.253.100,/async,1.0,0.0,2.0,2.05 Content,7197.0,d3e6,,done,4.0,3.0,False
112.204.98.230,/,1.0,2.0,2.0,2.05 Content,62668.0,7e09,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127.0,3.0,False
112.204.98.230,/qlink/searchfh,1.0,2.0,2.0,4.05 Method Not Allowed,10620.0,f11e,,Method Not Allowed,18.0,3.0,False
112.204.98.230,/qlink/searchgw,1.0,2.0,2.0,4.05 Method Not Allowed,52869.0,ce31,,Method Not Allowed,18.0,3.0,False
112.204.98.230,/qlink/request,1.0,2.0,2.0,4.05 Method Not Allowed,10459.0,7cc7,,Method Not Allowed,18.0,3.0,False
112.204.98.230,/qlink/success,1.0,2.0,2.0,4.05 Method Not Allowed,41646.0,f022,,Method Not Allowed,18.0,3.0,False
112.204.98.230,/device/inform/bootstrap,1.0,2.0,2.0,4.05 Method Not Allowed,41390.0,cfb6,,Method Not Allowed,18.0,3.0,False
112.204.98.230,/device/inform/boot,1.0,2.0,2.0,4.05 Method Not Allowed,31838.0,0b15,,Method Not Allowed,18.0,3.0,False
112.204.98.230,/device/inform/syncreq,1.0,2.0,2.0,4.05 Method Not Allowed,20384.0,f743,,Method Not Allowed,18.0,3.0,False
112.204.98.230,/device/inform/offline,1.0,2.0,2.0,4.05 Method Not Allowed,13686.0,02f9,,Method Not Allowed,18.0,3.0,False
112.204.98.230,/device/inform/heartbeat,1.0,2.0,2.0,4.05 Method Not Allowed,8756.0,82ed,,Method Not Allowed,18.0,3.0,False
