saddr,uri,version,mtype,token_length,code,mid,token,options,data,data_length,observable,user_inserted
117.197.204.146,/qlink,1.0,2.0,2.0,4.05 Method Not Allowed,9031.0,87f2,,,0.0,3.0,False
117.197.204.146,/qlink/ack,,,,,,,,Network error: MessageError,,,
117.197.204.146,/qlink/request,1.0,2.0,2.0,2.05 Content,14215.0,a052,"{""CONTENT_FORMAT"": ""TEXT""}","should post example,should post example should post exampleshould post exampleshould post exampleshould post examplepost exampleshould post exampleshould post example::{""deviceId"":""50294D0120011"",""deviceType"":""111"",""ipAddress"":""192.168.1.15""}",242.0,3.0,False
117.197.204.146,/qlink/searchgw,1.0,2.0,2.0,2.05 Content,26699.0,64b5,"{""CONTENT_FORMAT"": ""TEXT""}","{""result"":1}",12.0,3.0,False
117.197.204.146,/qlink/success,1.0,2.0,2.0,2.05 Content,9592.0,4aee,"{""CONTENT_FORMAT"": ""TEXT""}",,0.0,3.0,False
117.197.204.146,/qlink/wlantest,,,,,,,,Network error: ConRetransmitsExceeded,,,
117.197.204.146,/gw,1.0,2.0,2.0,4.05 Method Not Allowed,59439.0,ef26,,,0.0,3.0,False
117.197.204.146,/gw/query,1.0,2.0,2.0,4.05 Method Not Allowed,15673.0,8b43,,,0.0,3.0,False
117.197.204.146,/gw/query/DiagnotorConnection,1.0,2.0,2.0,2.05 Content,13681.0,7826,"{""CONTENT_FORMAT"": ""TEXT""}","010_A68B121021C0{""apmsOnlineStatus"":0}",38.0,3.0,False
117.197.204.146,/gw/query/apdevices,1.0,2.0,2.0,2.05 Content,1460.0,4685,"{""CONTENT_FORMAT"": ""TEXT""}","{""APDevices"":[]}",16.0,3.0,False
117.197.204.146,/gw/query/config,1.0,2.0,2.0,2.05 Content,8671.0,666f,"{""CONTENT_FORMAT"": ""TEXT""}","""respCode"":1",12.0,3.0,False
117.197.204.146,/basic,1.0,2.0,2.0,4.05 Method Not Allowed,52975.0,1eff,,,0.0,3.0,False
117.197.204.146,/basic/regist,1.0,2.0,2.0,2.05 Content,30696.0,d46c,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""ClientId"":""1391234567"",""ClientType"":0,""password"":""123456""}",80.0,3.0,False
117.197.204.146,/basic/show,1.0,2.0,2.0,2.05 Content,11184.0,5bd0,"{""CONTENT_FORMAT"": ""TEXT""}","userIp:null
SUCCESS_RESP:
userDevices:
toLinkDevices:
",54.0,3.0,False
117.197.204.146,/device,1.0,2.0,2.0,4.05 Method Not Allowed,59220.0,9cbe,,,0.0,3.0,False
117.197.204.146,/device/command,1.0,2.0,2.0,4.05 Method Not Allowed,35212.0,9d4c,,,0.0,3.0,False
117.197.204.146,/device/command/control,1.0,2.0,2.0,2.05 Content,14584.0,81d2,"{""CONTENT_FORMAT"": ""TEXT""}","{""respCode"":1}",14.0,3.0,False
117.197.204.146,/device/command/data,1.0,2.0,2.0,2.05 Content,49227.0,ecd7,"{""CONTENT_FORMAT"": ""TEXT""}",[],2.0,3.0,False
