saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
178.252.108.5,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,65027.0,a519,,,0.0,3.0,False
178.252.108.5,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,32838.0,691d,,,0.0,3.0,False
178.252.108.5,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,41877.0,aecc,,,0.0,3.0,False
178.252.108.5,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,28294.0,f011,,,0.0,3.0,False
178.252.108.5,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,28055.0,908f,,,0.0,3.0,False
178.252.108.5,/info,1.0,2.0,2.0,2.05 Content,11730.0,8699,"{""CONTENT_FORMAT"": ""TEXT""}","{""cloud"":true,""dpn"":true,""eula"":true,""password"":true,""cid"":""717a3034-8146-11f0-9396-a15b7d34323e"",""vendor"":""Netcraze"",""name"":""Netcraze Ultra"",""type"":""router"",""version"":""4.03.C.6.3-9"",""http_port"":80}",198.0,3.0,False
178.252.108.5,/,1.0,2.0,2.0,4.04 Not Found,37679.0,330d,,,0.0,3.0,True
188.164.189.79,/register,1.0,2.0,2.0,4.05 Method Not Allowed,65028.0,a51a,,,0.0,3.0,False
188.164.189.79,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,32839.0,691e,,,0.0,3.0,False
188.164.189.79,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,41878.0,aecd,,0x1,3.0,3.0,False
188.164.189.79,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,28295.0,f012,,,0.0,3.0,False
188.164.189.79,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,28056.0,9090,,,0.0,3.0,False
188.164.189.79,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,11731.0,869a,,,0.0,3.0,False
188.164.189.79,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,37680.0,330e,,,0.0,3.0,False
188.164.189.79,/info,1.0,2.0,2.0,2.05 Content,46123.0,aa73,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""a59082ce-93fc-11e6-8115-e797b3743a8f"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic 4G III"",""version"":""0.3.5-1""}",128.0,3.0,False
188.164.189.79,/,1.0,2.0,2.0,4.04 Not Found,6240.0,b3e9,,,0.0,3.0,True
176.194.123.177,/register,1.0,2.0,2.0,4.05 Method Not Allowed,65029.0,a51b,,,0.0,3.0,False
176.194.123.177,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,32840.0,691f,,,0.0,3.0,False
176.194.123.177,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,41879.0,aece,,0x1,3.0,3.0,False
176.194.123.177,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,28296.0,f013,,,0.0,3.0,False
