saddr,uri,version,mtype,token_length,code,mid,token,options,data,data_length,observable,user_inserted
209.141.128.6,/,1.0,2.0,2.0,2.05 Content,1770.0,0d37,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127.0,3.0,False
209.141.128.6,/qlink/searchfh,1.0,2.0,2.0,4.05 Method Not Allowed,55934.0,5106,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/qlink/searchgw,1.0,2.0,2.0,4.05 Method Not Allowed,60514.0,f774,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/qlink/request,1.0,2.0,2.0,4.05 Method Not Allowed,60138.0,6314,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/qlink/success,1.0,2.0,2.0,4.05 Method Not Allowed,48379.0,f2bd,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/device/inform/bootstrap,1.0,2.0,2.0,4.05 Method Not Allowed,40320.0,1cf5,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/device/inform/boot,1.0,2.0,2.0,4.05 Method Not Allowed,53527.0,bf4b,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/device/inform/syncreq,1.0,2.0,2.0,4.05 Method Not Allowed,729.0,2c0d,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/device/inform/offline,1.0,2.0,2.0,4.05 Method Not Allowed,8477.0,ef41,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/device/inform/heartbeat,1.0,2.0,2.0,4.05 Method Not Allowed,64876.0,a62c,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/device/inform/data,1.0,2.0,2.0,4.05 Method Not Allowed,34383.0,5f1f,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/device/inform/change,1.0,2.0,2.0,4.05 Method Not Allowed,2055.0,c774,,Method Not Allowed,18.0,3.0,False
209.141.128.6,/async,,,,,,,,timeout,,,
212.46.247.101,/register,1.0,2.0,2.0,4.05 Method Not Allowed,1771.0,0d38,,,0.0,3.0,False
212.46.247.101,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,55935.0,5107,,,0.0,3.0,False
212.46.247.101,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,60515.0,f775,,0x1,3.0,3.0,False
212.46.247.101,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,60139.0,6315,,,0.0,3.0,False
212.46.247.101,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,48380.0,f2be,,,0.0,3.0,False
212.46.247.101,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,40321.0,1cf6,,,0.0,3.0,False
212.46.247.101,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,53528.0,bf4c,,,0.0,3.0,False
212.46.247.101,/info,1.0,2.0,2.0,2.05 Content,730.0,2c0e,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""174dcd3c-3bfa-11e6-8115-fd88f54ac978"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",130.0,3.0,False
212.46.247.101,/,1.0,2.0,2.0,4.04 Not Found,8478.0,ef42,,,0.0,3.0,True
223.85.65.136,/qlink,1.0,2.0,2.0,4.05 Method Not Allowed,1772.0,0d39,,,0.0,3.0,False
223.85.65.136,/qlink/ack,,,,,,,,Network error: MessageError,,,
223.85.65.136,/qlink/queryGwExt,1.0,2.0,2.0,2.05 Content,60516.0,f776,"{""CONTENT_FORMAT"": ""TEXT""}","{""gatewayMac"":""AC8B6A10A670"",""firmwareVersion"":""CIOT;GM630"",""type"":1,""gatewayManufacturer"":""CIOT"",""softwareVersion"":""V1A0.A04.01;1.0;2.6.1-230712"",""gatewaySn"":""CIOT2710A670"",""andlinkVersion"":""2.6.0"",""provinceAbb"":""SCH""}",219.0,3.0,False
223.85.65.136,/qlink/request,1.0,2.0,2.0,2.05 Content,60140.0,6316,"{""CONTENT_FORMAT"": ""TEXT""}","should post example,should post example should post exampleshould post exampleshould post exampleshould post examplepost exampleshould post exampleshould post example::{""deviceId"":""50294D0120011"",""deviceType"":""111"",""ipAddress"":""192.168.1.15""}",242.0,3.0,False
223.85.65.136,/qlink/searchgw,1.0,2.0,2.0,2.05 Content,48381.0,f2bf,"{""CONTENT_FORMAT"": ""TEXT""}","{""result"":1}",12.0,3.0,False
223.85.65.136,/qlink/success,1.0,2.0,2.0,2.05 Content,40322.0,1cf7,"{""CONTENT_FORMAT"": ""TEXT""}",,0.0,3.0,False
223.85.65.136,/qlink/wlantest,,,,,,,,Network error: MessageError,,,
223.85.65.136,/gw,1.0,2.0,2.0,4.05 Method Not Allowed,731.0,2c0f,,,0.0,3.0,False
223.85.65.136,/gw/query,1.0,2.0,2.0,4.05 Method Not Allowed,8479.0,ef43,,,0.0,3.0,False
223.85.65.136,/gw/query/DiagnotorConnection,1.0,2.0,2.0,2.05 Content,64877.0,a62d,"{""CONTENT_FORMAT"": ""TEXT""}","090_AC8B6A10A670{""apmsOnlineStatus"":0}",38.0,3.0,False
223.85.65.136,/gw/query/apdevices,1.0,2.0,2.0,2.05 Content,34384.0,5f20,"{""CONTENT_FORMAT"": ""TEXT""}","{""APDevices"":[]}",16.0,3.0,False
223.85.65.136,/gw/query/config,1.0,2.0,2.0,2.05 Content,2056.0,c775,"{""CONTENT_FORMAT"": ""TEXT""}","""respCode"":1",12.0,3.0,False
223.85.65.136,/basic,1.0,2.0,2.0,4.05 Method Not Allowed,38402.0,4b5d,,,0.0,3.0,False
223.85.65.136,/basic/regist,1.0,2.0,2.0,2.05 Content,2953.0,126d,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""ClientId"":""1391234567"",""ClientType"":0,""password"":""123456""}",80.0,3.0,False
223.85.65.136,/basic/show,1.0,2.0,2.0,2.05 Content,60147.0,8c92,"{""CONTENT_FORMAT"": ""TEXT""}","userIp:null
SUCCESS_RESP:
userDevices:
toLinkDevices:
",54.0,3.0,False
223.85.65.136,/device,1.0,2.0,2.0,4.05 Method Not Allowed,13703.0,7b48,,,0.0,3.0,False
223.85.65.136,/device/command,1.0,2.0,2.0,4.05 Method Not Allowed,3645.0,d3b1,,,0.0,3.0,False
223.85.65.136,/device/command/control,1.0,2.0,2.0,2.05 Content,61317.0,0d98,"{""CONTENT_FORMAT"": ""TEXT""}","{""respCode"":1}",14.0,3.0,False
223.85.65.136,/device/command/data,1.0,2.0,2.0,2.05 Content,2914.0,bfd9,"{""CONTENT_FORMAT"": ""TEXT""}",[],2.0,3.0,False
223.85.65.136,/device/inform,1.0,2.0,2.0,4.05 Method Not Allowed,37703.0,f77f,,,0.0,3.0,False
223.85.65.136,/device/inform/boot,1.0,2.0,2.0,2.05 Content,36398.0,6ed4,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.15"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194.0,3.0,False
223.85.65.136,/device/inform/bootstrap,1.0,2.0,2.0,2.05 Content,37427.0,11e5,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceMac"":""50294D0120011"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.15"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",192.0,3.0,False
223.85.65.136,/device/inform/data,1.0,2.0,2.0,2.05 Content,32359.0,d194,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
223.85.65.136,/device/inform/heartbeat,1.0,2.0,2.0,2.05 Content,61804.0,76ad,"{""CONTENT_FORMAT"": ""TEXT""}","{""respCode"":1}",14.0,3.0,False
