saddr,uri,version,mtype,token_length,code,mid,token,options,data,data_length,observable,user_inserted
188.187.175.106,/register,1.0,2.0,2.0,4.05 Method Not Allowed,10524.0,418d,,,0.0,3.0,False
188.187.175.106,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,44120.0,9a29,,,0.0,3.0,False
188.187.175.106,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,31690.0,022e,,0x1,3.0,3.0,False
188.187.175.106,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,25083.0,4971,,,0.0,3.0,False
188.187.175.106,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,38901.0,e490,,,0.0,3.0,False
188.187.175.106,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,42906.0,6ee1,,,0.0,3.0,False
188.187.175.106,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,9327.0,19fd,,,0.0,3.0,False
188.187.175.106,/info,1.0,2.0,2.0,2.05 Content,52831.0,a926,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""d02e8536-0ff8-11e6-8115-717ca2da1ca2"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Start II"",""version"":""0.3.5-1""}",130.0,3.0,False
188.187.175.106,/,1.0,2.0,2.0,4.04 Not Found,12186.0,c6c0,,,0.0,3.0,True
183.220.96.85,/qlink,1.0,2.0,2.0,4.05 Method Not Allowed,10525.0,418e,,,0.0,3.0,False
183.220.96.85,/qlink/searchgw,1.0,2.0,2.0,4.00 Bad Request,44121.0,9a2a,"{""CONTENT_FORMAT"": ""TEXT""}",not soupport GET,16.0,3.0,False
183.220.96.85,/device,1.0,2.0,2.0,4.05 Method Not Allowed,31691.0,022f,,,0.0,3.0,False
183.220.96.85,/device/inform,1.0,2.0,2.0,4.05 Method Not Allowed,25084.0,4972,,,0.0,3.0,False
183.220.96.85,/device/inform/boot,1.0,2.0,2.0,4.00 Bad Request,38902.0,e491,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194.0,3.0,False
