saddr,uri,version,mtype,token_length,code,mid,token,options,data,data_length,observable,user_inserted
46.73.53.207,/register,1,2,2,4.05 Method Not Allowed,58807,a330,,,0,3,False
46.73.53.207,/ndm/dis,1,2,2,4.00 Bad Request,55175,17e6,,,0,3,False
46.73.53.207,/ndm/ci,1,2,2,4.00 Bad Request,59395,a751,,0x1,3,3,False
46.73.53.207,/mirror,1,2,2,4.05 Method Not Allowed,586,2102,,,0,3,False
46.73.53.207,/uhp,1,2,2,4.05 Method Not Allowed,21916,7923,,,0,3,False
46.73.53.207,/ndm/logout,1,2,2,4.05 Method Not Allowed,53271,6b00,,,0,3,False
46.73.53.207,/ndm/login,1,2,2,4.05 Method Not Allowed,60881,de62,,,0,3,False
46.73.53.207,/info,1,2,2,2.05 Content,13973,80d8,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""1594eea4-c57e-11e6-8115-132120af727e"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Start II"",""version"":""0.3.5-1""}",130,3,False
46.73.53.207,/,1,2,2,4.04 Not Found,8397,8379,,,0,3,True
49.149.175.129,/,1,2,2,2.05 Content,58808,a331,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127,3,False
49.149.175.129,/qlink/searchfh,1,2,2,4.05 Method Not Allowed,55176,17e7,,Method Not Allowed,18,3,False
49.149.175.129,/qlink/searchgw,1,2,2,4.05 Method Not Allowed,59396,a752,,Method Not Allowed,18,3,False
49.149.175.129,/qlink/request,1,2,2,4.05 Method Not Allowed,587,2103,,Method Not Allowed,18,3,False
49.149.175.129,/qlink/success,1,2,2,4.05 Method Not Allowed,21917,7924,,Method Not Allowed,18,3,False
49.149.175.129,/device/inform/bootstrap,1,2,2,4.05 Method Not Allowed,53272,6b01,,Method Not Allowed,18,3,False
49.149.175.129,/device/inform/boot,1,2,2,4.05 Method Not Allowed,60882,de63,,Method Not Allowed,18,3,False
49.149.175.129,/device/inform/syncreq,1,2,2,4.05 Method Not Allowed,13974,80d9,,Method Not Allowed,18,3,False
49.149.175.129,/device/inform/offline,1,2,2,4.05 Method Not Allowed,8398,837a,,Method Not Allowed,18,3,False
49.149.175.129,/device/inform/heartbeat,1,2,2,4.05 Method Not Allowed,40269,1590,,Method Not Allowed,18,3,False
49.149.175.129,/device/inform/data,1,2,2,4.05 Method Not Allowed,64940,3071,,Method Not Allowed,18,3,False
