saddr,uri,version,mtype,token_length,code,mid,token,options,data,data_length,observable,user_inserted
138.229.114.136,/,1,2,2,2.05 Content,3735,4bae,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127,3,False
138.229.114.136,/qlink/searchfh,1,2,2,4.05 Method Not Allowed,6138,fd0c,,Method Not Allowed,18,3,False
138.229.114.136,/qlink/searchgw,1,2,2,4.05 Method Not Allowed,15689,2213,,Method Not Allowed,18,3,False
138.229.114.136,/qlink/request,1,2,2,4.05 Method Not Allowed,35796,2056,,Method Not Allowed,18,3,False
138.229.114.136,/qlink/success,1,2,2,4.05 Method Not Allowed,50863,9585,,Method Not Allowed,18,3,False
138.229.114.136,/device/inform/bootstrap,1,2,2,4.05 Method Not Allowed,42142,28c3,,Method Not Allowed,18,3,False
138.229.114.136,/device/inform/boot,1,2,2,4.05 Method Not Allowed,21939,870d,,Method Not Allowed,18,3,False
138.229.114.136,/device/inform/syncreq,1,2,2,4.05 Method Not Allowed,3252,a04e,,Method Not Allowed,18,3,False
138.229.114.136,/device/inform/offline,1,2,2,4.05 Method Not Allowed,17895,a901,,Method Not Allowed,18,3,False
138.229.114.136,/device/inform/heartbeat,1,2,2,4.05 Method Not Allowed,18016,f91c,,Method Not Allowed,18,3,False
138.229.114.136,/device/inform/data,1,2,2,4.05 Method Not Allowed,596,6332,,Method Not Allowed,18,3,False
138.229.114.136,/device/inform/change,1,2,2,4.05 Method Not Allowed,2376,d6eb,,Method Not Allowed,18,3,False
138.229.114.136,/async,1,0,2,2.05 Content,6323,3fac,,done,4,3,False
135.0.168.83,/,1,2,2,2.05 Content,3736,4baf,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127,3,False
135.0.168.83,/qlink/searchfh,1,2,2,4.05 Method Not Allowed,6139,fd0d,,Method Not Allowed,18,3,False
